"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 01, 2016","56,755.76","57,309.23","57,729.31","56,675.81","4.21M","-0.96%"
"Jul 29, 2016","57,308.21","56,663.94","57,473.83","56,339.59","4.55M","1.13%"
"Jul 28, 2016","56,667.12","56,853.32","56,853.32","55,992.71","3.91M","-0.33%"
"Jul 27, 2016","56,852.84","56,788.47","57,380.30","56,788.47","3.91M","0.12%"
"Jul 26, 2016","56,782.75","56,876.24","57,309.50","56,707.84","3.46M","-0.16%"
"Jul 25, 2016","56,872.73","57,006.39","57,205.25","56,397.88","3.22M","-0.23%"
"Jul 22, 2016","57,002.08","56,641.49","57,170.56","56,518.04","3.00M","0.64%"
"Jul 21, 2016","56,641.49","56,578.05","56,906.27","56,232.51","3.59M","0.11%"
"Jul 20, 2016","56,578.05","56,698.77","56,927.16","56,220.73","4.00M","-0.21%"
"Jul 19, 2016","56,698.06","56,487.30","56,698.06","56,246.15","3.91M","0.38%"
"Jul 18, 2016","56,484.22","55,573.29","56,508.98","55,355.07","4.11M","1.63%"
"Jul 15, 2016","55,578.24","55,481.75","55,648.70","55,233.20","3.80M","0.18%"
"Jul 14, 2016","55,480.87","54,600.82","55,633.54","54,600.82","4.54M","1.62%"
"Jul 13, 2016","54,598.28","54,256.40","54,646.91","53,732.82","4.16M","0.63%"
"Jul 12, 2016","54,256.41","53,960.58","54,746.30","53,960.58","4.00M","0.55%"
"Jul 11, 2016","53,960.11","53,143.48","54,020.65","53,143.48","3.31M","1.54%"
"Jul 08, 2016","53,140.74","52,019.55","53,166.49","52,019.55","3.09M","2.16%"
"Jul 07, 2016","52,014.66","51,901.80","52,718.79","51,888.19","3.83M","0.22%"
"Jul 06, 2016","51,901.81","51,842.15","51,908.75","50,824.99","3.38M","0.11%"
"Jul 05, 2016","51,842.27","52,565.20","52,565.20","51,510.43","3.22M","-1.38%"
"Jul 04, 2016","52,568.66","52,241.12","52,917.78","52,241.12","2.08M","0.64%"
"Jul 01, 2016","52,233.04","51,540.21","52,346.07","51,411.23","4.24M","1.37%"
"Jun 30, 2016","51,526.93","51,001.38","51,619.06","50,585.06","4.51M","1.03%"
"Jun 29, 2016","51,001.91","50,009.45","51,229.09","50,009.45","4.09M","1.99%"
"Jun 28, 2016","50,006.56","49,252.12","50,301.43","49,252.12","3.51M","1.55%"
"Jun 27, 2016","49,245.53","50,105.81","50,161.61","48,954.41","3.33M","-1.72%"
"Jun 24, 2016","50,105.26","51,561.05","51,561.05","49,544.32","4.27M","-2.82%"
"Jun 23, 2016","51,559.82","50,160.76","51,672.63","50,160.76","3.26M","2.80%"
"Jun 22, 2016","50,156.30","50,834.72","51,238.56","50,060.39","3.75M","-1.34%"
"Jun 21, 2016","50,837.80","50,326.04","50,870.42","49,677.76","3.45M","1.01%"
"Jun 20, 2016","50,329.36","49,539.40","50,781.55","49,539.40","3.59M","1.61%"
"Jun 17, 2016","49,533.84","49,409.25","50,190.52","49,404.79","4.38M","0.25%"
"Jun 16, 2016","49,411.62","48,900.91","49,411.62","48,066.67","4.01M","1.02%"
"Jun 15, 2016","48,914.74","48,649.41","49,414.95","48,323.67","5.16M","0.55%"
"Jun 14, 2016","48,648.29","49,662.11","49,894.40","48,216.36","4.01M","-2.04%"
"Jun 13, 2016","49,660.79","49,418.63","49,763.54","48,803.56","2.71M","0.48%"
"Jun 10, 2016","49,422.16","51,117.44","51,117.44","49,420.98","3.07M","-3.32%"
